start;end;orbit;spacecraft_boresight_elat;spacecraft_boresight_elon;spacecraft_eroll;cam4_elat;cam4_elon;cam3_elat;cam3_elon;cam2_elat;cam2_elon;cam1_elat;cam1_elon;comment
2020-07-04;2020-07-17;27;-55;321.8;0;-89;141.8;-67;321.8;-43;321.8;-19;321.8;13 sector Southern continuation
2020-07-17;2020-07-31;27;-55;321.8;0;-89;141.8;-67;321.8;-43;321.8;-19;321.8;
2020-07-31;2020-08-13;28;-55;349.5;0;-89;169.5;-67;349.5;-43;349.5;-19;349.5;
2020-08-13;2020-08-27;28;-55;349.5;0;-89;169.5;-67;349.5;-43;349.5;-19;349.5;
2020-08-27;2020-09-10;29;-55;17.2;0;-89;197.2;-67;17.2;-43;17.2;-19;17.2;
2020-09-10;2020-09-23;29;-55;17.2;0;-89;197.2;-67;17.2;-43;17.2;-19;17.2;
2020-09-23;2020-10-07;30;-55;44.9;0;-89;224.9;-67;44.9;-43;44.9;-19;44.9;
2020-10-07;2020-10-21;30;-55;44.9;0;-89;224.9;-67;44.9;-43;44.9;-19;44.9;
2020-10-21;2020-11-03;31;-55;72.6;0;-89;252.6;-67;72.6;-43;72.6;-19;72.6;
2020-11-03;2020-11-17;31;-55;72.6;0;-89;252.6;-67;72.6;-43;72.6;-19;72.6;
2020-11-17;2020-12-01;32;-55;100.3;0;-89;280.3;-67;100.3;-43;100.3;-19;100.3;
2020-12-01;2020-12-14;32;-55;100.3;0;-89;280.3;-67;100.3;-43;100.3;-19;100.3;
2020-12-14;2020-12-28;33;-55;128.0;0;-89;308.0;-67;128.0;-43;128.0;-19;128.0;
2020-12-28;2021-01-11;33;-55;128.0;0;-89;308.0;-67;128.0;-43;128.0;-19;128.0;
2021-01-11;2021-01-24;34;-55;155.6;0;-89;335.6;-67;155.6;-43;155.6;-19;155.6;
2021-01-24;2021-02-07;34;-55;155.6;0;-89;335.6;-67;155.6;-43;155.6;-19;155.6;
2021-02-07;2021-02-21;35;-55;183.3;0;-89;3.3000000000000114;-67;183.3;-43;183.3;-19;183.3;
2021-02-21;2021-03-06;35;-55;183.3;0;-89;3.3000000000000114;-67;183.3;-43;183.3;-19;183.3;
2021-03-06;2021-03-20;36;-55;211.0;0;-89;31.0;-67;211.0;-43;211.0;-19;211.0;
2021-03-20;2021-04-03;36;-55;211.0;0;-89;31.0;-67;211.0;-43;211.0;-19;211.0;
2021-04-03;2021-04-16;37;-55;238.7;0;-89;58.69999999999999;-67;238.7;-43;238.7;-19;238.7;
2021-04-16;2021-04-30;37;-55;238.7;0;-89;58.69999999999999;-67;238.7;-43;238.7;-19;238.7;
2021-04-30;2021-05-14;38;-55;266.4;0;-89;86.39999999999998;-67;266.4;-43;266.4;-19;266.4;
2021-05-14;2021-05-27;38;-55;266.4;0;-89;86.39999999999998;-67;266.4;-43;266.4;-19;266.4;
2021-05-27;2021-06-10;39;-55;294.1;0;-89;114.10000000000002;-67;294.1;-43;294.1;-19;294.1;
2021-06-10;2021-06-24;39;-55;294.1;0;-89;114.10000000000002;-67;294.1;-43;294.1;-19;294.1;Last southern orbit
2021-06-24;2021-07-07;40;55;321.8;0;89;141.8;67;321.8;43;321.8;19;321.8;Bonus 4 sectors go to the north
2021-07-07;2021-07-21;40;55;321.8;0;89;141.8;67;321.8;43;321.8;19;321.8;
2021-07-21;2021-08-04;41;55;349.5;0;89;169.5;67;349.5;43;349.5;19;349.5;
2021-08-04;2021-08-17;41;55;349.5;0;89;169.5;67;349.5;43;349.5;19;349.5;
2021-08-17;2021-08-31;42;55;17.2;0;89;197.2;67;17.2;43;17.2;19;17.2;
2021-08-31;2021-09-14;42;55;17.2;0;89;197.2;67;17.2;43;17.2;19;17.2;
2021-09-14;2021-09-27;43;55;44.9;0;89;224.9;67;44.9;43;44.9;19;44.9;
2021-09-27;2021-10-11;43;55;44.9;0;89;224.9;67;44.9;43;44.9;19;44.9;Last of the oddball 4 northern sectors
2021-10-11;2021-10-25;44;0;56.6;90;0;92.6;0;68.6;0;44.6;0;20.6;Then begin observing the ecliptic. Do it continuously, for the 10 orbits that it is possible. Goal: maximize sky area covered. To achieve the goal, in first sector shift backwards by ~10 degrees in longitude. In last sector, shift forwards by same ~10 degrees. Spread out evenly in longitude between those.
2021-10-25;2021-11-07;44;0;56.6;90;0;92.6;0;68.6;0;44.6;0;20.6;Advance in ecliptic longitude. Perhaps shift slightly in latitude to fill in gaps. (Could apply principle to all pointings, could ignore this in simulations).
2021-11-07;2021-11-21;45;0;89.3;90;0;125.3;0;101.3;0;77.3;0;53.3;
2021-11-21;2021-12-05;45;0;89.3;90;0;125.3;0;101.3;0;77.3;0;53.3;
2021-12-05;2021-12-18;46;0;122.0;90;0;158.0;0;134.0;0;110.0;0;86.0;
2021-12-18;2022-01-01;46;0;122.0;90;0;158.0;0;134.0;0;110.0;0;86.0;
2022-01-01;2022-01-15;47;0;154.6;90;0;190.6;0;166.6;0;142.6;0;118.6;
2022-01-15;2022-01-28;47;0;154.6;90;0;190.6;0;166.6;0;142.6;0;118.6;
2022-01-28;2022-02-11;48;0;187.3;90;0;223.3;0;199.3;0;175.3;0;151.3;
2022-02-11;2022-02-25;48;0;187.3;90;0;223.3;0;199.3;0;175.3;0;151.3;Last ecliptic field
2022-02-25;2022-03-10;49;55;211.0;0;89;31.0;67;211.0;43;211.0;19;211.0;Go and stay north
2022-03-10;2022-03-24;49;55;211.0;0;89;31.0;67;211.0;43;211.0;19;211.0;
2022-03-24;2022-04-07;50;55;238.7;0;89;58.69999999999999;67;238.7;43;238.7;19;238.7;
2022-04-07;2022-04-20;50;55;238.7;0;89;58.69999999999999;67;238.7;43;238.7;19;238.7;
2022-04-20;2022-05-04;51;55;266.4;0;89;86.39999999999998;67;266.4;43;266.4;19;266.4;
2022-05-04;2022-05-18;51;55;266.4;0;89;86.39999999999998;67;266.4;43;266.4;19;266.4;
2022-05-18;2022-05-31;52;55;294.1;0;89;114.10000000000002;67;294.1;43;294.1;19;294.1;
2022-05-31;2022-06-14;52;55;294.1;0;89;114.10000000000002;67;294.1;43;294.1;19;294.1;
2022-06-14;2022-06-27;53;55;321.8;0;89;141.8;67;321.8;43;321.8;19;321.8;
2022-06-27;2022-07-11;53;55;321.8;0;89;141.8;67;321.8;43;321.8;19;321.8;
2022-07-11;2022-07-25;54;55;349.5;0;89;169.5;67;349.5;43;349.5;19;349.5;
2022-07-25;2022-08-07;54;55;349.5;0;89;169.5;67;349.5;43;349.5;19;349.5;
2022-08-07;2022-08-21;55;55;17.2;0;89;197.2;67;17.2;43;17.2;19;17.2;
2022-08-21;2022-09-04;55;55;17.2;0;89;197.2;67;17.2;43;17.2;19;17.2;
2022-09-04;2022-09-17;56;55;44.9;0;89;224.9;67;44.9;43;44.9;19;44.9;
2022-09-17;2022-10-01;56;55;44.9;0;89;224.9;67;44.9;43;44.9;19;44.9;
2022-10-01;2022-10-15;57;55;72.6;0;89;252.6;67;72.6;43;72.6;19;72.6;end FY2022 is Sep 30, 2022. orbit 121 is last orbit of ExtMission1.
2022-10-15;2022-10-28;57;55;72.6;0;89;252.6;67;72.6;43;72.6;19;72.6;
