"start";"end";"orbit";"sector";"spacecraft_boresight_elat";"spacecraft_boresight_elon";"spacecraft_eroll";"cam4_elat";"cam4_elon";"cam3_elat";"cam3_elon";"cam2_elat";"cam2_elon";"cam1_elat";"cam1_elon";"comment"
"2018-07-18";"2018-07-31";9;1;-54;315.8;0;-90;315.8;-66;315.8;-42;315.8;-18;315.8;"southern survey, primary mission"
"2018-07-31";"2018-08-14";10;1;-54;315.8;0;-90;315.8;-66;315.8;-42;315.8;-18;315.8;
"2018-08-14";"2018-08-27";11;2;-54;343.5;0;-90;343.5;-66;343.5;-42;343.5;-18;343.5;
"2018-08-27";"2018-09-10";12;2;-54;343.5;0;-90;343.5;-66;343.5;-42;343.5;-18;343.5;
"2018-09-10";"2018-09-24";13;3;-54;11.2;0;-90;11.2;-66;11.2;-42;11.2;-18;11.2;
"2018-09-24";"2018-10-07";14;3;-54;11.2;0;-90;11.2;-66;11.2;-42;11.2;-18;11.2;
"2018-10-07";"2018-10-21";15;4;-54;38.9;0;-90;38.9;-66;38.9;-42;38.9;-18;38.9;
"2018-10-21";"2018-11-04";16;4;-54;38.9;0;-90;38.9;-66;38.9;-42;38.9;-18;38.9;
"2018-11-04";"2018-11-17";17;5;-54;66.6;0;-90;66.6;-66;66.6;-42;66.6;-18;66.6;
"2018-11-17";"2018-12-01";18;5;-54;66.6;0;-90;66.6;-66;66.6;-42;66.6;-18;66.6;
"2018-12-01";"2018-12-15";19;6;-54;94.3;0;-90;94.3;-66;94.3;-42;94.3;-18;94.3;
"2018-12-15";"2018-12-28";20;6;-54;94.3;0;-90;94.3;-66;94.3;-42;94.3;-18;94.3;
"2018-12-28";"2019-01-11";21;7;-54;122;0;-90;122;-66;122;-42;122;-18;122;
"2019-01-11";"2019-01-25";22;7;-54;122;0;-90;122;-66;122;-42;122;-18;122;
"2019-01-25";"2019-02-07";23;8;-54;149.6;0;-90;149.6;-66;149.6;-42;149.6;-18;149.6;
"2019-02-07";"2019-02-21";24;8;-54;149.6;0;-90;149.6;-66;149.6;-42;149.6;-18;149.6;
"2019-02-21";"2019-03-07";25;9;-54;177.3;0;-90;177.3;-66;177.3;-42;177.3;-18;177.3;
"2019-03-07";"2019-03-20";26;9;-54;177.3;0;-90;177.3;-66;177.3;-42;177.3;-18;177.3;
"2019-03-20";"2019-04-03";27;10;-54;205;0;-90;205;-66;205;-42;205;-18;205;
"2019-04-03";"2019-04-17";28;10;-54;205;0;-90;205;-66;205;-42;205;-18;205;
"2019-04-17";"2019-04-30";29;11;-54;232.7;0;-90;232.7;-66;232.7;-42;232.7;-18;232.7;
"2019-04-30";"2019-05-14";30;11;-54;232.7;0;-90;232.7;-66;232.7;-42;232.7;-18;232.7;
"2019-05-14";"2019-05-28";31;12;-54;260.4;0;-90;260.4;-66;260.4;-42;260.4;-18;260.4;
"2019-05-28";"2019-06-10";32;12;-54;260.4;0;-90;260.4;-66;260.4;-42;260.4;-18;260.4;
"2019-06-10";"2019-06-24";33;13;-54;288.1;0;-90;288.1;-66;288.1;-42;288.1;-18;288.1;
"2019-06-24";"2019-07-08";34;13;-54;288.1;0;-90;288.1;-66;288.1;-42;288.1;-18;288.1;"last southern orbit"
"2019-07-08";"2019-07-21";35;14;85;315.8;0;59;135.8;83;135.8;73;315.8;49;315.8;"first northern (includes kepler field). added 31 deg to lat of s14-16, s24-26"
"2019-07-21";"2019-08-04";36;14;85;315.8;0;59;135.8;83;135.8;73;315.8;49;315.8;
"2019-08-04";"2019-08-18";37;15;85;343.5;0;59;163.5;83;163.5;73;343.5;49;343.5;
"2019-08-18";"2019-08-31";38;15;85;343.5;0;59;163.5;83;163.5;73;343.5;49;343.5;
"2019-08-31";"2019-09-14";39;16;85;11.2;0;59;191.2;83;191.2;73;11.2;49;11.2;
"2019-09-14";"2019-09-28";40;16;85;11.2;0;59;191.2;83;191.2;73;11.2;49;11.2;
"2019-09-28";"2019-10-11";41;17;54;38.9;0;90;38.9;66;38.9;42;38.9;18;38.9;
"2019-10-11";"2019-10-25";42;17;54;38.9;0;90;38.9;66;38.9;42;38.9;18;38.9;
"2019-10-25";"2019-11-08";43;18;54;66.6;0;90;66.6;66;66.6;42;66.6;18;66.6;
"2019-11-08";"2019-11-21";44;18;54;66.6;0;90;66.6;66;66.6;42;66.6;18;66.6;
"2019-11-21";"2019-12-05";45;19;54;94.3;0;90;94.3;66;94.3;42;94.3;18;94.3;
"2019-12-05";"2019-12-19";46;19;54;94.3;0;90;94.3;66;94.3;42;94.3;18;94.3;
"2019-12-19";"2020-01-01";47;20;54;122;0;90;122;66;122;42;122;18;122;
"2020-01-01";"2020-01-15";48;20;54;122;0;90;122;66;122;42;122;18;122;
"2020-01-15";"2020-01-29";49;21;54;149.6;0;90;149.6;66;149.6;42;149.6;18;149.6;
"2020-01-29";"2020-02-11";50;21;54;149.6;0;90;149.6;66;149.6;42;149.6;18;149.6;
"2020-02-11";"2020-02-25";51;22;54;177.3;0;90;177.3;66;177.3;42;177.3;18;177.3;
"2020-02-25";"2020-03-10";52;22;54;177.3;0;90;177.3;66;177.3;42;177.3;18;177.3;
"2020-03-10";"2020-03-23";53;23;54;205;0;90;205;66;205;42;205;18;205;
"2020-03-23";"2020-04-06";54;23;54;205;0;90;205;66;205;42;205;18;205;
"2020-04-06";"2020-04-20";55;24;85;232.7;0;59;52.7;83;52.7;73;232.7;49;232.7;
"2020-04-20";"2020-05-03";56;24;85;232.7;0;59;52.7;83;52.7;73;232.7;49;232.7;
"2020-05-03";"2020-05-17";57;25;85;260.4;0;59;80.4;83;80.4;73;260.4;49;260.4;
"2020-05-17";"2020-05-31";58;25;85;260.4;0;59;80.4;83;80.4;73;260.4;49;260.4;
"2020-05-31";"2020-06-13";59;26;85;288.1;0;59;108.1;83;108.1;73;288.1;49;288.1;
"2020-06-13";"2020-06-27";60;26;85;288.1;0;59;108.1;83;108.1;73;288.1;49;288.1;
